name,code,Schedule Type,Instruction Method,Credit,Course Description,Section Details,Registration Restrictions,Section Attributes,Schedule and Location,Instructors,Course Quality,Instructor Quality,Work Required,Difficulty,Also_offered_as,Mutually_exclusive,Prerequisites,numeric_credit
Recitation - Intro to Sociology,AFRC 1000,Recitation,In Class,0,"Sociology provides a unique way to look at human behavior and social interaction. Sociology is the systematic study of the groups and societies in which people live. In this introductory course, we analyze how social structures and cultures are created, maintained, and changed, and how they affect the lives of individuals. We will consider what theory and research can tell us about our social world.",Not available,Not available,"AFRC African American Studies (AAFA)
AFRC African Diaspora Studies (AAFD)
AFRC African Studies (AAFS)
AFRC Minor African American (AAFN)
College FND Cultural Diversity in US (AUCD)
College-Sector - Society (AUSO)
NU Sector ReaSys&Relationship (NURS)
NU Sector Society&Soc Struct (NUSS)
PSCI Political Science Related Course (APSR)
SEAS Social Science (EUSS)
WH UG CCP US (WUCU)
WH UG SS: Social Science (WUSS)",Varies by section,Chaewon Lee,2.7,2.9,2.1,1.9,SOCI 1000,,,[0.0]
Introduction to Africana Studies,AFRC 1001,Lecture,In Class,1,"The term Africana emerged in public discourse amid the social, political, and cultural turbulence of the 1960s. The roots of the field, however, are much older,easily reaching back to oral histories and writings during the early days of the Trans-Atlantic African slave trade. The underpinnings of the field continued to grow in the works of enslaved Africans, abolitionists and social critics of the nineteenth century, and evolved in the twentieth century by black writers, journalists, activists, and educators as the sought to document African descended people's lives. Collectively, their work established African Studies as a discipline,epistemological standpoint and political practice dedicated to understanding the multiple trajectories and experiences of black people in the world throughout history. As an ever-transforming field of study, this course will examine the genealogy, major discourses, and future trajectory of Africana Studies. Using primary sources such as maps and letters, as well as literature and performance, our study of Africana will begin with continental Africa, move across the Atlantic during the middle passage and travel from the coasts of Bahia in the 18th century to the streets of Baltimore in the 21st century. The course is constructed around major themes in Black intellectual thought including: retentions and transferal, diaspora, black power, meanings of blackness, uplift and nationalism. While attending to narratives and theories that concern African descended people in the United States, the course is uniquely designed with a focus on gender and provides context for the African diasporic experience in the Caribbean and Latin America.",Not available,Not available,"AFRC African American Studies (AAFA)
AFRC African Diaspora Studies (AAFD)
AFRC African Studies (AAFS)
AFRC Humanities (AAFH)
AFRC Social Science (AAFT)
College FND Cultural Diversity in US (AUCD)
College-Sector - Humanities & Social Science (AUHS)
NU Sector Society&Soc Struct (NUSS)
SEAS Social Science (EUSS)
WH UG CCP Non-US (WUCN)
WH UG SS: Social Science (WUSS)",TR 12pm-1:29pm (8/27 to 12/9),Grace Johnson,2.9,3.2,2.2,2.0,,,,[1.0]
Introduction to Africa,AFRC 1002,Lecture,In Class,1,"This course provides an introduction to the study of Africa in all its diversity and complexity. Our focus is cultural, geographical, and historical: we will seek to understand Africa s current place in the world political and economic order and learn about the various social and physical factors that have influenced the historical trajectory of the continent. We study the cultural formations and empires that emerged in Africa before European colonial invasion and then how colonialism reshaped those sociocultural forms. We ll learn about the unique kinds of kinship and religion in precolonial Africa and the changes brought about by the spread of Islam and Christianity. Finally, we ll take a close look at contemporary issues such as ethnic violence, migration, popular culture and poverty, and we'll debate the various approaches to understanding those issues.",Not available,Not available,"AFRC African Diaspora Studies (AAFD)
AFRC African Studies (AAFS)
AFRC History Course (AAFO)
AFRC Humanities (AAFH)
AFRC Minor African American (AAFN)
ANCH Ancient & Premod Hist Related Crs Other Dept (AANP)
ANTH Cultural and Linguistics (AACL)
ANTH Medical Anthropology and Global Health (AAMA)
College FND Cross Cultural Analysis (AUCC)
College-Sector - Society (AUSO)
HSOC Regional (AHSR)
Hunstman International Studies (UNIS)
INTR International Relations Elective (AIRE)
INTR Non-Western Elective (AIRN)
NU Sector Global&Cultural Studies (NUGC)
PSCI Comparative Politics (APSC)
SEAS Humanities (EUHS)
WH UG CCP Non-US (WUCN)
WH UG SS: Social Science (WUSS)",MW 10:15am-11:44am (8/27 to 12/9),"David Amponsah
Chukwudi Isiani",3.2,3.5,1.9,1.6,ANTH 1002,,,[1.0]
Race and Ethnic Relations,AFRC 1060,Lecture,In Class,1,"The course will focus on race and ethnicity in the United States. We begin with a brief history of racial categorization and immigration to the U.S. The course continues by examining a number of topics including racial and ethnic identity, interracial and interethnic friendships and marriage, racial attitudes, mass media images, residential segregation, educational stratification, and labor market outcomes. The course will include discussions of African Americans, Whites, Hispanics, Asian Americans and multiracials.",Not available,Not available,"AFRC African American Studies (AAFA)
AFRC African Diaspora Studies (AAFD)
AFRC African Studies (AAFS)
AFRC Minor African American (AAFN)
ASAM Minor Related Courses (AASR)
CRIM SocioPolitical (ACRS)
College FND Cultural Diversity in US (AUCD)
HSOC Race, Gender and Health (AHSN)
LALX Social Science (ALSS)
NU Sector Global&Cultural Studies (NUGC)
NU Sector Society&Soc Struct (NUSS)
PPE Distributive Justice (APPJ)
PPE Public Policy & Governance (APPU)
PSCI American Politics (APSA)
PSCI Comparative Politics (APSC)
PSCI Minor International Development Minor (APID)
SEAS Social Science (EUSS)
SOCI Culture and Diversity (ASCD)
SOCI M Law Society (ASOL)
SOCI Structures of Opportunity and Inequality (ASOI)
URBS Comparative and Theoretical Dimensions (ARCT)
URBS Public Policy & Governance (ARPP)
University Scholar Social Issues (UNCS)
WH UG CCP US (WUCU)
WH UG SS: Social Science (WUSS)",TR 1:45pm-3:14pm (8/27 to 12/9),Not available,2.8,2.9,2.1,1.9,"ASAM 1510,LALS 1060,SOCI 1060,URBS 1060",,,[1.0]
History of American Law to 1877,AFRC 1119,Lecture,In Class,1,"This course is designed to explore major themes and events in early American legal history. Because of the richness of the subject matter and the wealth of sources available, we will be selective in our focus. The course will emphasize several core areas of legal development that run throughout colonial and early national history: 1) the state: including topics such as war and other military or police action, insurrection, revolution, regulation, courts, economic policy, and public health; 2) labor: including race and racially-based slavery, varied forms of servitude and labor coercion, household labor, industrialization, unionization, and market development; 3) property: including property in persons, land, and business, and the role of lawyers in promoting the creation of wealth; 4) private spaces: including family, individual rights, sexuality, gender, and private relations of authority; 5) constitutionalism: various methods of setting norms (rules, principles, values) that create, structure, and define the limits of government power and authority in colonial/imperial, state, and national contexts; 6) democracy and belonging: including questions of citizenship, voting rights, and participation in public life. By placing primary sources within historical context, the course will expose students to the ways that legal change has affected the course of American history and contemporary life. The course will be conducted primarily in lecture format, but I invite student questions and participation. In the end, the central aim of this course is to acquaint students with a keen sense of the ways that law has operated to liberate, constrain, and organize Americans. Ideally, students will come away with sharper critical thinking and reading skills, as well. *This course is a core requirement for the Legal Studies and History Minor (LSHS).*",Not available,Not available,"AFRC African American Studies (AAFA)
AFRC African Diaspora Studies (AAFD)
AFRC History Course (AAFO)
AFRC Minor African American (AAFN)
CRIM SocioPolitical (ACRS)
College FND Cultural Diversity in US (AUCD)
HIST Concentration in Intellectual History Related (AHIR)
HIST Pre- (AH18)
HIST United States and Canada (AHUC)
HSOC Law and Society (AHSA)
NU Sector History&Traditions (NUHT)
PSCI American Politics (APSA)
SEAS Humanities (EUHS)
WH UG CCP US (WUCU)
WH UG SS: Social Science (WUSS)",TR 1:45pm-3:14pm (8/27 to 12/9),Sarah Gronningsater,3.0,3.3,2.5,2.5,HIST 1119,,,[1.0]
The American South,AFRC 1121,Lecture,In Class,1,"Southern culture and history from 1607-1860, from Jamestown to seccession. Traces the rise of slavery and plantation society, the growth of Southern sectionalism and its explosion into Civil War.","Several seats in this course have been reserved for LPS Students. If seats are available, you will be able to register freely. If seats are not available, you may submit a permit request in Courses@Penn. However, you should seek an alternative with the help of your advisor. Though it is rare, permits may be granted if space becomes available, in the order the requests were received in Courses@Penn. Permits will not be issued if the course has been filled. Submitting a permit request does not guarantee registration in the course. Please do not email regarding reserved seats or requesting permits, as they will not be issued.",Not available,"AFRC Minor African American (AAFN)
College FND Cultural Diversity in US (AUCD)
College-Sector - History & Tradition (AUHT)
HIST Pre- (AH18)
HIST United States and Canada (AHUC)
NU Sector History&Traditions (NUHT)
PSCI American Politics (APSA)
SEAS Humanities (EUHS)
WH UG CCP US (WUCU)
Wharton UG Core Flex GenEd (WUFG)",T 5:15pm-8:14pm (8/27 to 12/9),Anders Bright,2.3,2.5,2.6,2.4,HIST 1121,,,[1.0]
Law and Society,AFRC 1123,Lecture,In Class,1,"After introducing students to the major theoretical concepts concerning law and society, significant controversial societal issues that deal with law and the legal systems both domestically and internationally will be examined. Class discussions will focus on issues involving civil liberties, the organization of courts, legislatures, the legal profession and administrative agencies. Although the focus will be on law in the United States, law and society in other countries of Africa, Asia, Europe and Latin America will be covered in a comparative context. Readings included research reports, statutes and cases.",Not available,Not available,"AFRC African American Studies (AAFA)
AFRC African Diaspora Studies (AAFD)
AFRC Minor African American (AAFN)
CRIM SocioPolitical (ACRS)
College FND Cultural Diversity in US (AUCD)
HSOC Healthcare Finance Concentration (AHFI)
HSOC Law and Society (AHSA)
HSOC Law, Politics and Public Policy (AHSL)
Hunstman International Studies (UNIS)
INTR International Relations Elective (AIRE)
NU Sector Global&Cultural Studies (NUGC)
NU Sector Society&Soc Struct (NUSS)
PPE Ethics & Professions (APPE)
PSCI Political Science Related Course (APSR)
SEAS Social Science (EUSS)
SOCI Law and Society (ASLS)
SOCI M Law Society (ASOL)
WH UG CCP Non-US (WUCN)
WH UG SS: Social Science (WUSS)",TR 5:15pm-6:44pm (8/27 to 12/9),Hocine Fetni,2.4,2.5,1.5,1.9,SOCI 1120,,,[1.0]
African American History 1550-1876,AFRC 1176,Varies by section,In Class,Varies by section,"This course examines the experiences of Africans and African Americans in colonial America and in the United States to 1865. We will explore a variety of themes through the use of primary and secondary sources. Topics include: the development of racial slavery, labor, identity, gender, religion, education, law, protest, resistance, and abolition.",Not available,Not available,"AFRC African American Studies (AAFA)
AFRC African Diaspora Studies (AAFD)
AFRC African Studies (AAFS)
AFRC History Course (AAFO)
AFRC Humanities (AAFH)
AFRC Minor African American (AAFN)
College FND Cultural Diversity in US (AUCD)
College-Sector - History & Tradition (AUHT)
HIST Concentration in American History (AHCA)
HIST Pre- (AH18)
HIST United States and Canada (AHUC)
NU Sector History&Traditions (NUHT)
PSCI American Politics (APSA)
SEAS Humanities (EUHS)
WH UG CCP US (WUCU)
WH UG SS: Social Science (WUSS)",Varies by section,Varies by section,2.5,2.8,2.3,2.2,HIST 1127,,,
Constitutional Law,AFRC 1205,Lecture,In Class,1,"This class introduces students to the United States Constitution, specifically Articles I, II, III, the Tenth Amendment, Equal Protection Clause, and the First Amendment. The format for each class will consist of a 45-minute lecture followed by small group discussions on assigned issues and questions.",Not available,Not available,"CRIM SocioPolitical (ACRS)
College FND Cultural Diversity in US (AUCD)
NU Sector Society&Soc Struct (NUSS)
PPE Distributive Justice (APPJ)
PPE Political Science (APPP)
PPE Public Policy & Governance (APPU)
PSCI American Politics (APSA)
PSCI Minor American Public Policy (APAP)
PSCI Political Theory (APST)
SEAS Social Science (EUSS)
SOCI M Law Society (ASOL)
WH UG CCP US (WUCU)
WH UG SS: Social Science (WUSS)",TR 3:30pm-4:59pm (8/27 to 12/9),"Marci Hamilton
Dejah Adams",3.2,3.3,2.5,2.7,PSCI 1205,,,[1.0]
African Environmental History,AFRC 1370,Seminar,In Class,1,"This new course will explore multiple dimensions of Africa’s environmental history, drawing upon literature in the natural sciences, social sciences, and the humanities. It is one component of a pilot project supported by Penn Global and directed by the instructor on ‘Local Histories of Climate Change in the Horn of Africa”, though we will cover topics and case studies from the entire continent. The course takes an historical perspective on environmental change in Africa, with an eye to engaging current debates on climate change and its impact on contemporary urban and rural communities. Students will read and discuss key works on the African environment, conduct their own literature reviews on selected topics, and prepare case studies of communities which have been impacted by severe climate events in the past half-century. The format combines lectures and seminar-style discussions, and we will draw upon the expertise of guest lecturers in a variety of disciplines which have contributed to the study of environmental change.",Not available,Not available,"AFRC African Studies (AAFS)
AFRC History Course (AAFO)
HIST Africa and the Middle East (AHAF)
HIST Concentration in World History (AHCW)",W 8:30am-11:29am (8/27 to 12/9),Lee Cassanelli,3.6,3.6,2.0,2.0,HIST 1370,,,[1.0]
Jazz Style and History,AFRC 1400,Lecture,In Class,1,"This course is an exploration of the family of musical idioms called jazz. Attention will be given to issues of style development, selective musicians, and to the social and cultural conditions and the scholarly discourses that have informed the creation, dissemination and reception of this dynamic set of styles from the beginning of the 20th century to the present. Fulfills Cultural Diversity in the U.S.",Enrollment is limited to Music Majors and Minors during advance registration. During the add/drop/swap period registration will open to the university and seats will be available on a first come first serve basis.,Not available,"College FND Cultural Diversity in US (AUCD)
MUSC Jazz and Popular Music Elective (AMJP)
MUSC Minor Music Related (AMRE)
NU Sector Arts & Letters (NUAL)
NU Sector Global&Cultural Studies (NUGC)
NU Sector History&Traditions (NUHT)
SEAS Humanities (EUHS)
WH UG CCP US (WUCU)
Wharton UG Core Flex GenEd (WUFG)",F 10:15am-1:14pm (8/27 to 12/9),Amanda Scherbenske,2.9,3.1,1.8,1.9,MUSC 1400,,,[1.0]
